business_id,name,address,city,postal_code,lat,lon,tract_geoid,median_household_income,poverty_rate_pct,access_class,access_score
PR0305337,GATEWAY FOOD & LIQUOR,1305 N BASCOM AV STE G,San Jose,95128,37.33741,-121.937713,06085505800,169722,4.2,well_served,2
PR0305341,DIM SUM KING,824 W EL CAMINO REAL,Sunnyvale,94087,37.370262,-122.042442,06085508404,213393,5.1,well_served,1
PR0305344,AAA COUNTRY INN CAFE,6484 CAMDEN AV,San Jose,95120,37.2208598,-121.8652572,06085511914,250001,1.9,moderate,3
PR0305349,111 BAKERY INC,2347 MCKEE RD,San Jose,95116,37.365937,-121.849368,06085503708,103446,11.9,highly_underserved,9
PR0305350,MOLLIE STONES MARKET-DELI,164 CALIFORNIA AV,Palo Alto,94306,37.428944,-122.143391,06085511501,173470,10.3,underserved,7
PR0305351,VBIRYANIZ,18 S ABBOTT AV,Milpitas,95035,37.4281863,-121.9132316999,06085504507,163724,6.4,underserved,7
PR0305354,TOGO'S OF ALMADEN VALLEY,6469-60 ALMADEN EX,San Jose,95120,37.2212961,-121.8619801,06085511905,250001,0.7,well_served,1
PR0305358,NAMASTE,35 E MAIN ST,Los Gatos,95030,37.2212928,-121.9809883,06085507004,175347,8.3,moderate,5
PR0305359,RAMEN SEAS,173 S MURPHY AV,Sunnyvale,94086,37.376563,-122.030579,06085508602,180959,7.9,underserved,6
PR0305361,NGUYEN ESPRESSO,1657 TULLY RD,San Jose,95122,37.3218085,-121.8268963,06085503402,79306,14.0,highly_underserved,10
PR0305362,THE BREAKFAST CLUB,775 E DUNNE AV,Morgan Hill,95037,37.13039,-121.637742,06085512312,206208,0.7,moderate,3
PR0305363,CHATORI CHAAT EXPRESS,1475 MAIN ST,Santa Clara,95050,37.353786,-121.948069,06085505600,140263,20.1,underserved,8
PR0305367,NOVAKOVICH ORCHARD,14251 FRUITVALE AV,Saratoga,95070,37.261666,-122.014075,06085507301,244207,5.4,moderate,3
PR0305369,MEZE & KEBAB,636 EMERSON ST,Palo Alto,94301,37.4434711,-122.1608935,06085511302,139167,18.2,underserved,8
PR0305371,TOGO'S,1331 1ST ST,Gilroy,95020,37.0137481999,-121.5951321,06085512505,99742,7.2,underserved,8
PR0305372,CHINA PALACE,65 W MAIN AV,Morgan Hill,95037,37.129925,-121.655897,06085512314,152349,7.8,underserved,6
PR0305373,THE PATIO @ RUDY'S,412 EMERSON ST,Palo Alto,94301,37.445075,-122.163901,06085511302,139167,18.2,underserved,8
PR0305376,CHARLEY NOODLE & GRILL,244 STATE ST,Los Altos,94022,37.379615,-122.116951,06085510300,250001,3.2,well_served,1
PR0305384,WINDOW CAFE,1915 ALUM ROCK AV # C,San Jose,95116,37.354929,-121.851411,06085503707,109000,6.4,highly_underserved,9
PR0305389,PEET'S COFFEE & TEA #111,3904 MIDDLEFIELD RD,Palo Alto,94303,37.4197194,-122.1099173,06085510802,250001,2.1,well_served,1
PR0305390,HANSANG TOFU,57 N MILPITAS BL,Milpitas,95035,37.433982,-121.900637,06085504413,155982,7.2,underserved,7
